word,sw,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,word_lower
abandon,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热",n:4/v:96,3,1,gk cet4 cet6 ky toefl gre,2057,2182,abandon
abbreviation,abbreviation,ә.bri:vi'eiʃәn,"n. a shortened form of a word or phrase
n. shortening something by omitting parts of it","n. 缩写词, 缩写, 缩短, 节略",n:100,0,0,cet6 toefl ielts,15465,20008,abbreviation
abide,abide,ә'baid,"v dwell
v put up with something or somebody unpleasant","vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于",v:100,1,0,cet6 ky toefl gre,9496,8457,abide
abnormal,abnormal,æb'nɒ:mәl,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal","a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人",j:100,1,0,gk cet4 cet6 ky toefl ielts,6548,8241,abnormal
abolish,abolish,ә'bɒliʃ,v. do away with,"vt. 废止, 革除, 消灭
[经] 废除, 取消, 裁撤",v:100,2,0,gk cet6 ky toefl ielts gre,3736,7490,abolish
abrupt,abrupt,ә'brʌpt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner","a. 突然的, 唐突的, 陡峭的, 不连贯的",j:100,2,0,gk cet6 ky toefl ielts gre,8560,8703,abrupt
absence,absence,'æbsәns,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有
[医] 失神",n:100,3,1,gk cet4 cet6 ky toefl,1585,2524,absence
absent,absent,'æbsәnt,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation","a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席",j:86/v:14,2,1,zk gk cet4 cet6 ky toefl,4300,5516,absent
absolute,absolute,'æbsәlu:t,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law","a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物",j:97/n:3,3,1,gk cet4 cet6 ky toefl gre,2420,3165,absolute
absorb,absorb,әb'sɒ:b,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically","vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收",v:100,2,1,gk cet4 cet6 ky toefl ielts gre,2879,3120,absorb
absorption,absorption,әb'sɒ:pʃәn,"n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium","n. 吸收, 专心, 全神贯注
[化] 吸收; 吸收作用",n:100,0,0,cet6 toefl,5819,8596,absorption
abstract,abstract,'æbstrækt,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment","a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象",n:6/j:87/v:7,2,0,gk cet4 cet6 ky toefl ielts gre,3729,4007,abstract
absurd,absurd,әb'sә:d,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule","a. 荒谬的, 不合理的, 可笑的
n. 荒诞",j:100,2,0,gk cet6 ky toefl ielts gre,5676,5901,absurd
abundance,abundance,ә'bʌndәns,"n. the property of a more than adequate quantity or supply
n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
n. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million","n. 丰富, 充足, 大量
[经] 丰富, 充裕",n:100,1,0,cet6 ky toefl ielts gre,7038,5425,abundance
abuse,abuse,ә'bju:s.ә'bju:z,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively","n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待",v:24/n:76,4,1,gk cet4 cet6 ky toefl ielts gre,2352,1540,abuse
academic,academic,.ækә'demik,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects","a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员",j:88/n:12,3,1,gk cet4 cet6 ky toefl ielts gre,1941,1465,academic
academy,academy,ә'kædәmi,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge","n. 学院, 院校, 学会",n:100,2,0,gk cet4 cet6 ky toefl,4366,4895,academy
accelerate,accelerate,әk'selәreit,"v. move faster
v. cause to move faster","v. 加速, 促进",v:100,2,0,gk cet4 cet6 ky toefl ielts gre,5328,4925,accelerate
acceptance,acceptance,әk'septәns,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered","n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
[经] 承兑, 认付, (工程)验收",n:100,2,0,cet4 cet6 ky,2899,3443,acceptance
access,access,'ækses,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information","n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取",v:15/n:85,3,1,gk cet4 cet6 ky toefl ielts gre,999,1113,access
accessary,accessary,әk'sesәri,s. aiding and abetting in a crime,"a. 附属的, 附带的, 从犯的
n. 附件, 同谋, 从犯",,0,0,cet6,0,0,accessary
accessible,accessible,әk'sesәbl,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly","a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",j:100,2,0,gk cet6 toefl ielts gre,4162,4377,accessible
accessory,accessory,әk'sesәri,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support","n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件",j:10/n:90,2,0,cet4 cet6 ky toefl ielts gre,7048,6429,accessory
accidental,accidental,.æksi'dentl,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally","a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面",j:100,2,1,cet4 cet6 ky toefl,6917,7485,accidental
accommodate,accommodate,ә'kɒmәdeit,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)","vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应",v:100,2,0,cet4 cet6 ky toefl ielts gre,3404,3717,accommodate
accommodation,accommodation,ә.kɒmә'deiʃәn,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need","n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
[医] 调节(眼); 适应",n:100,2,1,gk cet4 cet6 ky ielts,2048,5369,accommodation
accompany,accompany,ә'kʌmpәni,v. go or travel along with,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱",v:100,3,1,gk cet4 cet6 ky toefl ielts gre,1902,2438,accompany
accomplishment,accomplishment,ә'kʌmpliʃmәnt,n. the action of accomplishing something,"n. 成就, 完成",n:100,1,0,cet6 toefl,13752,4308,accomplishment
accord,accord,ә'kɒ:d,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have","n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合",v:41/n:59,5,0,cet4 cet6 ky toefl ielts gre,5594,6075,accord
accordance,accordance,ә'kɒ:dәns,n. the act of granting rights,"n. 一致, 和谐",i:95/n:5,1,0,cet4 cet6 ky,32964,8086,accordance
accordingly,accordingly,ә'kɒ:diŋli,r. in accordance with,"adv. 相应地, 因此, 于是",r:100,2,0,cet4 cet6 ky,3199,5589,accordingly
accumulate,accumulate,ә'kju:mjuleit,v. collect or gather,"v. 积聚, 堆积",v:100,2,0,gk cet4 cet6 ky toefl ielts gre,4997,5083,accumulate
accuracy,accuracy,'ækjurәsi,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number","n. 精确, 正确
[计] 准确度",n:100,0,0,gk cet4 cet6 ky toefl ielts gre,3958,4076,accuracy
accurate,accurate,'ækjurәt,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct","a. 正确的, 精确的
[经] 准确的, 精确的",j:100,3,1,cet4 cet6 ky toefl ielts gre,2738,2728,accurate
accuse,accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于
vi. 指责, 控告",v:100,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,accuse
accustom,accustom,ә'kʌstәm,v make psychologically or physically used (to something),vt. 使习惯于,v:100,1,0,cet4 cet6 ky toefl,14055,7584,accustom
accustomed,accustomed,ә'kʌstәmd,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual","a. 惯常的, 习惯了的",j:100,1,0,gk cet4 cet6 ky toefl,6431,8524,accustomed
achieve,achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到
vi. 如愿以偿",v:100,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,achieve
achievement,achievement,ә'tʃi:vmәnt,n the action of accomplishing something,"n. 完成, 成就, 功业",n:100,2,1,gk cet4 cet6 toefl ielts,1978,2021,achievement
acid,acid,'æsid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid","n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
[计] 自动文档互参与索引生成程序",j:1/n:99,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,acid
